epoch,train_loss,val_loss,mAP,train_cls_loss,train_box_loss,train_obj_loss,val_cls_loss,val_box_loss,val_obj_loss
55,0.06450664802737859,"tensor(0.0985, device='cuda:0')","tensor(0.3348, device='cuda:0')","tensor(0.6964, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.4199, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1260, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.5081, device='cuda:0')","tensor(7.5502, device='cuda:0')","tensor(0.1104, device='cuda:0')"
56,0.06390216039574664,"tensor(0.1112, device='cuda:0')","tensor(0.2500, device='cuda:0')","tensor(0.8273, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.3697, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1195, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.8949, device='cuda:0')","tensor(8.2817, device='cuda:0')","tensor(0.1155, device='cuda:0')"
57,0.06127893212048904,"tensor(0.0977, device='cuda:0')","tensor(0.2968, device='cuda:0')","tensor(0.7931, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.3027, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1257, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.5376, device='cuda:0')","tensor(7.4367, device='cuda:0')","tensor(0.1283, device='cuda:0')"
58,0.058129554209501846,"tensor(0.1002, device='cuda:0')","tensor(0.2713, device='cuda:0')","tensor(0.6515, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.0563, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1233, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.7336, device='cuda:0')","tensor(7.6053, device='cuda:0')","tensor(0.1165, device='cuda:0')"
59,0.06050096711386805,"tensor(0.1151, device='cuda:0')","tensor(0.2734, device='cuda:0')","tensor(0.8312, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.2379, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1195, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.8892, device='cuda:0')","tensor(8.4712, device='cuda:0')","tensor(0.1006, device='cuda:0')"
60,0.05712866718354433,"tensor(0.1078, device='cuda:0')","tensor(0.2685, device='cuda:0')","tensor(0.6332, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.0512, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1214, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.6604, device='cuda:0')","tensor(8.1040, device='cuda:0')","tensor(0.1132, device='cuda:0')"
61,0.05983804344483044,"tensor(0.0993, device='cuda:0')","tensor(0.2843, device='cuda:0')","tensor(0.9625, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.1414, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1211, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.0476, device='cuda:0')","tensor(7.5258, device='cuda:0')","tensor(0.1079, device='cuda:0')"
62,0.05793069011491278,"tensor(0.0965, device='cuda:0')","tensor(0.3428, device='cuda:0')","tensor(0.7167, device='cuda:0', grad_fn=<DivBackward0>)","tensor(4.9810, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1225, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.6016, device='cuda:0')","tensor(7.4404, device='cuda:0')","tensor(0.1208, device='cuda:0')"
63,0.06278677365702132,"tensor(0.1168, device='cuda:0')","tensor(0.2455, device='cuda:0')","tensor(0.6583, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.4156, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1225, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.9733, device='cuda:0')","tensor(8.6186, device='cuda:0')","tensor(0.1146, device='cuda:0')"
64,0.057607979068289634,"tensor(0.1018, device='cuda:0')","tensor(0.2972, device='cuda:0')","tensor(0.6588, device='cuda:0', grad_fn=<DivBackward0>)","tensor(5.0483, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1199, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.1887, device='cuda:0')","tensor(7.6188, device='cuda:0')","tensor(0.1084, device='cuda:0')"
65,0.055834214486505676,"tensor(0.0965, device='cuda:0')","tensor(0.2943, device='cuda:0')","tensor(0.5650, device='cuda:0', grad_fn=<DivBackward0>)","tensor(4.9609, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1191, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.9929, device='cuda:0')","tensor(7.3872, device='cuda:0')","tensor(0.1167, device='cuda:0')"
66,0.05606106020834135,"tensor(0.1039, device='cuda:0')","tensor(0.2728, device='cuda:0')","tensor(0.6778, device='cuda:0', grad_fn=<DivBackward0>)","tensor(4.9151, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.1132, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.6125, device='cuda:0')","tensor(7.8706, device='cuda:0')","tensor(0.1074, device='cuda:0')"
